Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,Result,HomeTeamCode,AwayTeamCode,time,hour,RefereeCode,HomeTeam_Form_Score,AwayTeam_Form_Score,HomeTeam_Overall_Rating,AwayTeam_Overall_Rating,B365_result,H2H_HomeForm,H2H_AwayForm
E0,2021-08-13,20:00:00,Brentford,Arsenal,M Oliver,4.0,3.4,1.95,1,3,0,20:00:00,20,22,0,0,0.415,0.684,2,0.0,0.0
E0,2021-08-14,12:30:00,Man United,Leeds,P Tierney,1.53,4.5,5.75,1,16,11,12:30:00,12,26,0,0,0.496,0.276,1,0.0,0.0
E0,2021-08-14,15:00:00,Burnley,Brighton,D Coote,3.1,3.1,2.45,2,5,4,15:00:00,15,7,0,0,0.214,0.46,2,0.0,0.0
E0,2021-08-14,15:00:00,Chelsea,Crystal Palace,J Moss,1.25,5.75,13.0,1,6,7,15:00:00,15,14,0,0,0.525,0.397,1,0.0,0.0
E0,2021-08-14,15:00:00,Everton,Southampton,A Madley,1.9,3.5,4.0,1,8,21,15:00:00,15,1,0,0,0.344,0.197,1,0.0,0.0
E0,2021-08-14,15:00:00,Leicester,Wolves,C Pawson,1.66,3.8,5.25,1,12,26,15:00:00,15,5,0,0,0.299,0.362,1,0.0,0.0
E0,2021-08-14,15:00:00,Watford,Aston Villa,M Dean,3.1,3.2,2.37,1,24,1,15:00:00,15,20,0,0,0.194,0.503,2,0.0,0.0
E0,2021-08-14,17:30:00,Norwich,Liverpool,A Marriner,9.0,5.75,1.3,2,18,13,17:30:00,17,2,0,0,0.166,0.711,2,0.0,0.0
E0,2021-08-15,14:00:00,Newcastle,West Ham,M Atkinson,3.2,3.5,2.2,2,17,25,14:00:00,14,19,0,0,0.507,0.39,2,0.0,0.0
E0,2021-08-15,16:30:00,Tottenham,Man City,A Taylor,5.5,4.2,1.6,1,23,15,16:30:00,16,3,0,0,0.506,0.74,2,0.0,0.0
E0,2021-08-21,12:30:00,Liverpool,Burnley,M Dean,1.18,7.5,13.0,1,13,5,12:30:00,12,20,0,0,0.711,0.214,1,0.0,0.0
E0,2021-08-21,15:00:00,Aston Villa,Newcastle,D Coote,1.8,3.75,4.33,1,1,17,15:00:00,15,7,0,0,0.503,0.507,1,0.0,0.0
E0,2021-08-21,15:00:00,Crystal Palace,Brentford,M Atkinson,2.55,3.2,2.87,0,7,3,15:00:00,15,19,0,0,0.397,0.415,1,0.0,0.0
E0,2021-08-21,15:00:00,Leeds,Everton,D England,2.37,3.4,3.0,0,11,8,15:00:00,15,8,0,0,0.276,0.344,1,0.0,0.0
E0,2021-08-21,15:00:00,Man City,Norwich,G Scott,1.08,11.0,26.0,1,15,18,15:00:00,15,10,0,0,0.74,0.166,1,0.0,0.0
E0,2021-08-21,17:30:00,Brighton,Watford,A Taylor,1.7,3.5,5.75,1,4,24,17:30:00,17,3,0,0,0.46,0.194,1,0.0,0.0
E0,2021-08-22,14:00:00,Southampton,Man United,C Pawson,5.5,4.2,1.57,0,21,16,14:00:00,14,5,0,0,0.197,0.496,2,0.0,0.0
E0,2021-08-22,14:00:00,Wolves,Tottenham,S Attwell,3.2,3.2,2.35,2,26,23,14:00:00,14,31,0,0,0.362,0.506,2,0.0,0.0
E0,2021-08-22,16:30:00,Arsenal,Chelsea,P Tierney,4.75,3.75,1.72,2,0,6,16:30:00,16,26,0,0,0.684,0.525,2,0.0,0.0
E0,2021-08-23,20:00:00,West Ham,Leicester,M Oliver,2.5,3.5,2.75,1,25,12,20:00:00,20,22,0,0,0.39,0.299,1,0.0,0.0
E0,2021-08-28,12:30:00,Man City,Arsenal,M Atkinson,1.25,6.0,12.0,1,15,0,12:30:00,12,19,1,-1,0.74,0.684,1,0.0,0.0
E0,2021-08-28,15:00:00,Aston Villa,Brentford,P Bankes,1.95,3.6,3.8,0,1,3,15:00:00,15,25,1,0,0.503,0.415,1,0.0,0.0
E0,2021-08-28,15:00:00,Brighton,Everton,J Moss,2.3,3.2,3.3,2,4,8,15:00:00,15,14,1,0,0.46,0.344,1,0.0,0.0
E0,2021-08-28,15:00:00,Newcastle,Southampton,P Tierney,2.5,3.4,2.8,0,17,21,15:00:00,15,26,-1,-1,0.507,0.197,1,0.0,0.0
E0,2021-08-28,15:00:00,Norwich,Leicester,R Jones,4.5,3.5,1.85,2,18,12,15:00:00,15,27,-1,-1,0.166,0.299,2,0.0,0.0
E0,2021-08-28,15:00:00,West Ham,Crystal Palace,S Attwell,1.55,4.0,6.5,0,25,7,15:00:00,15,31,1,-1,0.39,0.397,1,0.0,0.0
E0,2021-08-28,17:30:00,Liverpool,Chelsea,A Taylor,2.45,3.3,2.9,0,13,6,17:30:00,17,3,1,1,0.711,0.525,1,0.0,0.0
E0,2021-08-29,14:00:00,Burnley,Leeds,M Oliver,3.1,3.5,2.25,0,5,11,14:00:00,14,22,-1,-1,0.214,0.276,2,0.0,0.0
